label,method,source,start_name,plot_iteration,solver_iteration,stage,objective,l2_h,max_abs_h,load_supplied_pct
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,114,114,rho=1e+02,0.2505270531713269,0.05295353156024656,0.01780492247205412,82.34841308573215
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,115,115,rho=1e+02,0.2505310857393465,0.05295276996541361,0.01780457708824451,82.34843250459059
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,116,116,rho=1e+02,0.25053160355792936,0.05295267209905997,0.01780464846418356,82.34872218241377
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,117,117,rho=1e+02,0.25053957895383383,0.052951165858539435,0.017803741923268335,82.34942185037261
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,118,118,rho=1e+02,0.2505384346160631,0.05295138184437811,0.017803668360230618,82.34934020531888
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,119,119,rho=1e+02,0.250546238415722,0.05294990791120997,0.017802478248374498,82.34977982835815
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,120,120,rho=1e+02,0.25054608786292115,0.05294993625158665,0.017802310739284066,82.35018254404538
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,121,121,rho=1e+02,0.25055385340323866,0.05294846953124397,0.017801070397463092,82.35091431538672
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,122,122,rho=1e+02,0.250561457153575,0.05294703312776662,0.017802515444582556,82.35161026667348
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,123,123,rho=1e+02,0.25056454856589994,0.052946449140425046,0.017802985180974035,82.35206379369791
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,124,124,rho=1e+02,0.2505604722360434,0.05294721895748044,0.017803758353193172,82.3520535229669
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,125,125,rho=1e+02,0.2505685232186973,0.05294569820384974,0.01780369135599938,82.35314611070459
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,126,126,rho=1e+02,0.2505659829491366,0.05294617790411747,0.017803973751710722,82.35254193348439
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,127,127,rho=1e+02,0.25056187073781555,0.05294695425433473,0.017804930998880142,82.35216391177624
